"","run","aic","estimate","lower_ci","upper_ci","ground","group"
"178",36,72.2817010308725,48.4579419698364,33.2392081325198,68.3565987887223,63,"3"
"179",36,303.511853990077,1889.61066054343,1814.20599951567,1967.47656384039,1835,"4"
"180",36,144.944365763741,184.902967638211,161.193595143084,211.271609485703,190,"5"
"181",37,444.787042111022,12045.2660262299,11854.1290538383,12238.8356488043,11885,"1"
"182",37,264.781979372403,984.158319870925,930.586364975885,1040.1343855774,955,"2"
"183",37,85.7490813453395,66.1389576921993,50.290817484028,85.5054199991722,66,"3"
"184",37,298.783139445654,1930.84112029217,1853.53886399686,2010.69982542282,1830,"4"
"185",37,138.296766761117,167.658276851289,144.509314693412,193.609298856091,156,"5"
"186",38,452.54763315488,11835.4962905484,11646.0805913922,12027.3426457036,11863,"1"
"187",38,260.803670055397,997.831213334946,943.35566033276,1054.74792920668,1035,"2"
"188",38,79.1862174340443,60.900215944521,45.7595655768119,79.5610993466749,61,"3"
"189",38,309.237060440283,1868.73703378108,1793.94618692715,1945.96827987795,1889,"4"
"190",38,147.626244380229,185.077864367485,161.211150132987,211.683600127597,201,"5"
"191",39,442.169321487243,11902.7964975748,11709.0220116756,12099.151022639,11934,"1"
"192",39,249.244681138435,1028.09200568209,972.459390321827,1086.21596492152,1024,"2"
"193",39,78.51195220856,72.6763674796497,55.2586072689557,94.022180966134,64,"3"
"194",39,309.87563270417,1964.73998712751,1887.40744287328,2044.56263868541,1840,"4"
"195",39,138.615355249243,176.159679842365,152.421907190569,202.723090733056,169,"5"
"196",40,446.66871444187,11622.6486794216,11419.541403218,11828.5542369889,11816,"1"
"197",40,264.003381334836,1028.34230041342,972.708549603338,1086.46688913074,1005,"2"
"198",40,92.1633143533984,24.3157894736843,10.5775676344865,53.3288226130838,58,"3"
"199",40,303.109915139189,1845.17905885988,1770.76383526672,1922.03742295211,1900,"4"
"200",40,134.379916198656,193.32492087942,167.873842093322,221.70225532942,193,"5"
"201",41,444.779754187194,11846.7883765024,11655.1635442397,12040.8918061585,11941,"1"
"202",41,251.082946328586,1012.73090949431,957.507956501976,1070.44980949253,928,"2"
"203",41,84.9594743003944,56.0697527095871,42.3914569518035,72.9541213401301,77,"3"
"204",41,302.886552115966,1857.37158028304,1782.53769479001,1934.66337630705,1886,"4"
"205",41,148.239120083209,315.349417122767,223.854736591404,441.844042056646,174,"5"
"206",42,465.511041823319,11953.1056622472,11762.553733194,12146.0909828163,11807,"1"
"207",42,260.514350936837,1029.24051147057,972.475030241441,1088.63823427656,1013,"2"
"208",42,81.6355530204244,51.2127488050855,36.8535430593966,69.5354630965907,58,"3"
"209",42,295.799527503144,1836.28763791138,1762.22127377322,1912.78427679427,1862,"4"
"210",42,139.877228284906,183.593986409118,159.252662698579,210.711466895698,161,"5"
"211",43,459.783234435228,11778.8916029142,11590.2318693747,11969.9689162237,11658,"1"
"212",43,249.830960200561,983.641000117338,929.428153716297,1040.30367684736,1023,"2"
"213",43,75.8335781963892,68.8778813173809,51.5159425035695,90.6292174577524,72,"3"
"214",43,313.694970935083,1881.52037371154,1805.82284403642,1959.70310172655,1841,"4"
"215",43,122.985123739065,174.380026741304,150.644006954313,200.930492516216,184,"5"
"216",44,444.095433396602,11866.7383803589,11676.9607591128,12058.9442744509,11805,"1"
"217",44,247.776400925865,981.149700860723,927.485110647776,1037.23467304822,1056,"2"
"218",44,77.4353197095741,56.5418732771351,42.8807346645209,73.3892875586415,62,"3"
"219",44,290.164155594427,1894.41699003296,1819.09788645318,1972.18175833886,1916,"4"
"220",44,145.319278228514,170.133057170897,147.765258443706,195.068027034175,184,"5"
"221",45,460.893157272854,11899.5926178869,11709.94181167,12091.6673400668,11986,"1"
"222",45,268.90705070463,1037.02246869661,981.083394269266,1095.44855367099,983,"2"
"223",45,74.2724553687761,57.5541161815661,42.7425868109676,75.9235585313346,63,"3"
"224",45,305.425161478214,1807.70534163801,1734.57670384046,1883.24047244516,1943,"4"
"225",45,137.786179383165,164.895322087804,143.090236831269,189.184285264755,190,"5"
"226",46,446.780924822462,11981.8422174867,11790.8852395173,12175.2380634386,11974,"1"
"227",46,257.521838324818,1237.32540788724,1121.53438326359,1362.2259267869,999,"2"
"228",46,89.8293326170592,64.466309042046,50.504760856542,81.2897668922316,62,"3"
"229",46,298.884478372513,1827.31354451001,1753.35522818137,1903.70320624287,1856,"4"
"230",46,136.227915882605,182.468006190229,157.932534795061,209.905385251817,179,"5"
"231",47,476.534263165299,11888.984411369,11698.6988513101,12081.7107254755,11925,"1"
"232",47,268.52678741715,995.311086629876,941.121100428073,1051.92426764683,1041,"2"
"233",47,84.5627959115905,65.6013531029723,49.4452922992979,85.6123252135211,63,"3"
"234",47,304.35852616382,1870.30846856799,1795.24348960066,1947.82555291527,1892,"4"
"235",47,145.398519691075,205.801805830584,180.147752537849,234.242025518131,183,"5"
"236",48,459.19453261238,11725.4776456448,11538.0750710118,11915.2786400179,11916,"1"
"237",48,263.733445954621,986.838104135201,932.705760039852,1043.40873915584,978,"2"
"238",48,81.3177626723293,60.5817322311293,45.3966930378851,79.2800870259528,57,"3"
"239",48,309.931240360595,1843.52826224484,1769.58727466687,1919.88573502469,1891,"4"
"240",48,143.497924752659,171.446471638144,148.826099398005,196.621858991052,210,"5"
"241",49,459.882174858167,12035.5056101889,11719.09723785,12358.1143208916,11809,"1"
"242",49,266.026860826402,1011.59726765572,956.961176710628,1068.66492467202,1019,"2"
"243",49,90.6557264607288,69.05946500732,52.6066580316863,89.3646535556729,64,"3"
"244",49,312.235105145277,1850.10585292523,1769.22342893557,1933.84221094466,1903,"4"
"245",49,148.944874254215,185.922300549583,160.907484468214,213.97230446145,190,"5"
"246",50,444.879480371233,11839.3361320367,11650.3342418943,12030.7551047499,11937,"1"
"247",50,274.128652646296,1015.57221989871,958.104464748428,1075.70547977982,1034,"2"
"248",50,82.3275622190757,79.6474844088638,59.5787143616295,104.727407243036,63,"3"
"249",50,311.978923085848,1851.44315852551,1777.00503265133,1928.32297425237,1895,"4"
"250",50,149.352294133211,192.943295443161,167.478018418866,221.367305933102,193,"5"
"251",51,463.708427314398,12074.7444546995,11865.544847299,12286.8197559341,11867,"1"
"252",51,236.973720824632,998.560473814087,944.209761305012,1055.34506510874,1002,"2"
"253",51,85.9072008942484,48.8013702098177,36.2283228313287,64.500058922123,58,"3"
"254",51,329.777933661657,1868.14888595409,1793.72205984563,1944.99872094257,1882,"4"
"255",51,139.041202701558,179.357374610056,155.409343421364,206.11029742114,181,"5"
"256",52,466.977306303179,12281.0940006517,11961.347914866,12607.0314629716,11917,"1"
"257",52,252.04479726727,1006.87089564901,952.020216442078,1064.17954723829,1008,"2"
"258",52,71.6713624251069,67.4093296650001,50.9706845648911,87.606288344492,63,"3"
"259",52,300.870428533608,1831.8548070532,1753.86011153661,1912.58782259981,1756,"4"
"260",52,144.580750037569,173.961831768889,150.695661532077,199.927654388985,178,"5"
"261",53,461.072347578489,11995.8480696281,11805.1751068678,12188.9518006716,11842,"1"
"262",53,254.112647088714,1067.7025621897,1010.61929474083,1127.31077241739,1022,"2"
"263",53,93.7204069862578,65.4750491352501,50.481415196571,83.793443070371,59,"3"
"264",53,303.079379505537,1907.23588747287,1831.09309675589,1985.86220019867,1869,"4"
"265",53,141.565007784367,177.918742064116,154.95029050705,203.451662432993,198,"5"
