iteration,aic,estimate,lower_ci,upper_ci,ground,group,corr,obf,pct_diff
3,83.01336871,45.96703981,28.95015745,72.28952609,66,91_100,FALSE,FALSE,30.35296998
3,476.3685643,87830.23316,86826.68202,88844.84542,88003,base,FALSE,FALSE,0.196319266
3,518.5065771,34999.60634,34367.02782,35643.29837,35100,Female,FALSE,TRUE,0.286021811
3,538.4369251,53094.84667,52301.26855,53899.9301,53163,Male,FALSE,TRUE,0.12819693
3,224.2427506,632.1762341,543.9642373,734.3291474,585,Asian/PI,FALSE,TRUE,-8.064313524
3,355.5285765,4623.150073,4400.267796,4856.780736,4839,Black,FALSE,TRUE,4.460630861
3,427.2713203,8750.64792,8435.646681,9076.898675,8694,Hispanic,FALSE,TRUE,-0.651574875
3,261.1779217,1071.658917,931.6547866,1231.67917,1016,Other,FALSE,TRUE,-5.478239845
3,538.9708772,73531.71231,72528.6307,74547.93965,72948,White,FALSE,TRUE,-0.800175887
3,140.7841524,1042.170769,498.2289614,2492.086878,284,1_10,FALSE,TRUE,-266.9615384
3,287.9268026,2587.506027,2410.137944,2777.480079,2402,11_20,FALSE,TRUE,-7.722981988
3,425.3517032,24133.32461,23599.1135,24679.1331,23991,21_30,FALSE,TRUE,-0.593241655
3,432.5788321,24156.22375,23632.02929,24691.51149,24126,31_40,FALSE,TRUE,-0.125274603
3,397.7909758,16851.09463,16416.87526,17296.24067,17223,41_50,FALSE,TRUE,2.159353011
3,384.8272402,13363.78309,12979.33955,13759.06285,13680,51_60,FALSE,TRUE,2.311527092
3,312.1450421,4455.134396,4231.381425,4690.161033,4626,61_70,FALSE,TRUE,3.693592823
3,222.1989852,1198.733315,1081.583867,1328.066605,1132,71_80,FALSE,TRUE,-5.895169171
3,154.8583447,472.7717687,393.5244939,567.3125674,547,81_90,FALSE,TRUE,13.57006056
3,85.5044015,45.87454158,27.56941142,75.14714426,74,91_100,FALSE,TRUE,38.00737624
3,622.5636571,87543.49841,86542.31184,88555.73604,88256,base,FALSE,TRUE,0.807312354
3,678.3792987,1903.115734,1841.497024,1966.556541,1963,Female,TRUE,FALSE,3.050650352
3,695.1644084,2983.233117,2904.937138,3063.395365,2966,Male,TRUE,FALSE,-0.581022164
3,393.1918184,31.29614712,26.38212717,37.01297489,28,Asian/PI,TRUE,FALSE,-11.77195399
3,540.6830328,257.9249131,237.9252088,279.4284398,241,Black,TRUE,FALSE,-7.0227855
3,595.8934409,496.5090911,466.2174322,528.5436342,510,Hispanic,TRUE,FALSE,2.645276249
3,441.4012535,63.17557399,54.73426522,72.76026357,41,Other,TRUE,FALSE,-54.08676582
3,714.908563,4030.419157,3939.794955,4122.887696,4000,White,TRUE,FALSE,-0.760478918
3,343.9778663,12.94482913,10.36440177,16.0697431,13,1_10,TRUE,FALSE,0.42439127
3,487.2018197,142.4582409,129.0358504,157.1183443,133,11_20,TRUE,FALSE,-7.111459315
3,646.4554402,1416.498222,1365.959679,1468.697981,1294,21_30,TRUE,FALSE,-9.466632294
3,646.2293597,1339.150946,1289.127881,1390.897666,1308,31_40,TRUE,FALSE,-2.381570804
3,627.6516364,944.5588724,902.674007,988.168238,978,41_50,TRUE,FALSE,3.419338195
3,632.2493198,751.2535007,712.6485256,791.7023022,765,51_60,TRUE,FALSE,1.796928008
3,545.7776728,239.7207571,221.2290564,259.6071706,252,61_70,TRUE,FALSE,4.872715451
3,450.705662,74.57496274,65.23723745,85.10855567,46,71_80,TRUE,FALSE,-62.11948422
3,403.0459101,28.03106428,23.79647793,32.91548882,28,81_90,TRUE,FALSE,-0.110943844
