fod,year,month,final_re,N_ID
1,2016,9,5,-1
1,2016,10,1,149
1,2016,10,2,-1
1,2016,10,4,16
1,2016,10,5,-1
1,2016,11,1,169
1,2016,11,2,-1
1,2016,11,4,20
1,2016,11,5,-1
1,2016,12,1,132
1,2016,12,2,-1
1,2016,12,3,-1
1,2016,12,4,12
1,2016,12,5,-1
1,2017,1,1,136
1,2017,1,2,11
1,2017,1,4,16
1,2017,1,5,-1
1,2017,2,1,128
1,2017,2,2,-1
1,2017,2,4,15
1,2017,2,5,-1
1,2017,3,1,133
1,2017,3,2,11
1,2017,3,3,-1
1,2017,3,4,15
1,2017,3,5,-1
1,2017,4,1,130
1,2017,4,2,-1
1,2017,4,3,-1
1,2017,4,4,12
1,2017,4,5,-1
1,2017,5,1,115
1,2017,5,2,-1
1,2017,5,3,-1
1,2017,5,4,12
1,2017,6,1,108
1,2017,6,2,-1
1,2017,6,3,-1
1,2017,6,4,16
1,2017,7,1,128
1,2017,7,2,-1
1,2017,7,3,-1
1,2017,7,4,25
1,2017,8,1,145
1,2017,8,2,11
1,2017,8,3,-1
1,2017,8,4,17
1,2017,8,5,-1
1,2017,9,1,148
1,2017,9,2,14
1,2017,9,3,-1
1,2017,9,4,26
1,2017,9,5,-1
1,2017,10,1,138
1,2017,10,2,12
1,2017,10,4,18
1,2017,11,1,135
1,2017,11,2,-1
1,2017,11,4,16
1,2017,11,5,-1
1,2017,12,1,131
1,2017,12,2,-1
1,2017,12,4,26
1,2017,12,5,-1
1,2018,1,1,153
1,2018,1,2,-1
1,2018,1,3,-1
1,2018,1,4,24
1,2018,1,5,-1
1,2018,2,1,125
1,2018,2,2,12
1,2018,2,3,-1
1,2018,2,4,15
1,2018,3,1,127
1,2018,3,2,12
1,2018,3,4,17
1,2018,4,1,136
1,2018,4,2,-1
1,2018,4,3,-1
1,2018,4,4,-1
1,2018,4,5,-1
1,2018,5,1,150
1,2018,5,2,-1
1,2018,5,3,-1
1,2018,5,4,15
1,2018,5,5,-1
1,2018,6,1,132
1,2018,6,2,12
1,2018,6,3,-1
1,2018,6,4,27
1,2018,6,5,-1
1,2018,7,1,143
1,2018,7,2,-1
1,2018,7,3,-1
1,2018,7,4,18
1,2018,7,5,-1
1,2018,8,1,141
1,2018,8,2,-1
1,2018,8,4,16
1,2018,8,5,-1
1,2018,9,1,113
1,2018,9,2,-1
1,2018,9,3,-1
1,2018,9,4,18
1,2018,9,5,-1
1,2018,10,1,117
1,2018,10,2,-1
1,2018,10,3,-1
1,2018,10,4,22
1,2018,10,5,-1
1,2018,11,1,125
1,2018,11,2,-1
1,2018,11,4,22
1,2018,12,1,133
1,2018,12,2,-1
1,2018,12,3,-1
1,2018,12,4,23
1,2018,12,5,-1
1,2019,1,1,126
1,2019,1,2,-1
1,2019,1,3,-1
1,2019,1,4,23
1,2019,1,5,-1
1,2019,2,1,117
1,2019,2,2,-1
1,2019,2,3,-1
1,2019,2,4,18
1,2019,2,5,-1
1,2019,3,1,140
1,2019,3,2,12
1,2019,3,4,19
1,2019,4,1,121
1,2019,4,2,13
1,2019,4,4,11
1,2019,4,5,-1
1,2019,5,1,134
1,2019,5,2,-1
1,2019,5,3,-1
1,2019,5,4,23
1,2019,5,5,-1
1,2019,6,1,126
1,2019,6,2,-1
1,2019,6,4,25
1,2019,7,1,137
1,2019,7,2,-1
1,2019,7,4,24
1,2019,8,1,124
1,2019,8,2,15
1,2019,8,3,-1
1,2019,8,4,21
1,2019,9,1,126
1,2019,9,2,-1
1,2019,9,4,19
1,2019,10,1,139
1,2019,10,2,15
1,2019,10,3,-1
1,2019,10,4,23
1,2019,10,5,-1
1,2019,11,1,142
1,2019,11,2,-1
1,2019,11,3,-1
1,2019,11,4,20
1,2019,11,5,-1
1,2019,12,1,125
1,2019,12,2,16
1,2019,12,3,-1
1,2019,12,4,19
1,2020,1,1,95
1,2020,1,2,13
1,2020,1,3,-1
1,2020,1,4,26
1,2020,1,5,-1
1,2020,2,1,134
1,2020,2,2,17
1,2020,2,3,-1
1,2020,2,4,21
1,2020,2,5,-1
1,2020,3,1,144
1,2020,3,2,-1
1,2020,3,4,20
1,2020,3,5,-1
1,2020,4,1,151
1,2020,4,2,21
1,2020,4,3,-1
1,2020,4,4,13
1,2020,4,5,-1
1,2020,5,1,155
1,2020,5,2,23
1,2020,5,3,-1
1,2020,5,4,32
1,2020,5,5,-1
1,2020,6,1,132
1,2020,6,2,19
1,2020,6,3,-1
1,2020,6,4,21
1,2020,6,5,-1
1,2020,7,1,127
1,2020,7,2,25
1,2020,7,3,-1
1,2020,7,4,27
1,2020,7,5,-1
1,2020,8,1,119
1,2020,8,2,11
1,2020,8,3,-1
1,2020,8,4,21
1,2020,8,5,-1
1,2020,9,1,113
1,2020,9,2,11
1,2020,9,3,-1
1,2020,9,4,28
1,2020,10,1,124
1,2020,10,2,22
1,2020,10,3,-1
1,2020,10,4,24
1,2020,10,5,-1
1,2020,11,1,113
1,2020,11,2,21
1,2020,11,4,25
1,2020,12,1,121
1,2020,12,2,23
1,2020,12,3,-1
1,2020,12,4,20
1,2020,12,5,-1
1,2021,1,1,135
1,2021,1,2,-1
1,2021,1,3,-1
1,2021,1,4,37
1,2021,1,5,-1
1,2021,2,1,125
1,2021,2,2,14
1,2021,2,3,-1
1,2021,2,4,18
1,2021,2,5,-1
1,2021,3,1,159
1,2021,3,2,20
1,2021,3,4,26
1,2021,3,5,-1
1,2021,4,1,154
1,2021,4,2,17
1,2021,4,3,-1
1,2021,4,4,21
1,2021,4,5,-1
1,2021,5,1,123
1,2021,5,2,12
1,2021,5,3,-1
1,2021,5,4,34
1,2021,6,1,135
1,2021,6,2,24
1,2021,6,3,-1
1,2021,6,4,21
1,2021,6,5,-1
1,2021,7,1,139
1,2021,7,2,16
1,2021,7,3,-1
1,2021,7,4,25
1,2021,7,5,-1
1,2021,8,1,158
1,2021,8,2,19
1,2021,8,4,22
1,2021,8,5,-1
1,2021,9,1,144
1,2021,9,2,20
1,2021,9,3,-1
1,2021,9,4,22
1,2021,9,5,-1
1,2021,10,1,146
1,2021,10,2,21
1,2021,10,3,-1
1,2021,10,4,23
1,2021,10,5,-1
1,2021,11,1,134
1,2021,11,2,15
1,2021,11,3,-1
1,2021,11,4,24
1,2021,11,5,-1
1,2021,12,1,135
1,2021,12,2,29
1,2021,12,3,-1
1,2021,12,4,29
1,2021,12,5,-1
